dataset_system,incident_id,root_cause_service,fault_type,repetition_id,inject_time,split,eligible
RCAEval RE2-OB,productcatalogservice_mem/2,productcatalogservice,mem,2,1705491651.0,catalog,True
RCAEval RE2-OB,productcatalogservice_mem/3,productcatalogservice,mem,3,1705493908.0,catalog,True
RCAEval RE2-OB,productcatalogservice_disk/2,productcatalogservice,disk,2,1705496111.0,catalog,True
RCAEval RE2-OB,productcatalogservice_socket/2,productcatalogservice,socket,2,1705509677.0,catalog,True
RCAEval RE2-OB,productcatalogservice_socket/3,productcatalogservice,socket,3,1705512067.0,catalog,True
RCAEval RE2-OB,productcatalogservice_delay/2,productcatalogservice,delay,2,1705514496.0,catalog,True
RCAEval RE2-OB,productcatalogservice_delay/3,productcatalogservice,delay,3,1705516829.0,catalog,True
RCAEval RE2-OB,productcatalogservice_loss/2,productcatalogservice,loss,2,1705519114.0,catalog,True
RCAEval RE2-OB,recommendationservice_cpu/2,recommendationservice,cpu,2,1705525832.0,catalog,True
RCAEval RE2-OB,recommendationservice_cpu/3,recommendationservice,cpu,3,1705528257.0,catalog,True
RCAEval RE2-OB,recommendationservice_mem/2,recommendationservice,mem,2,1705530692.0,catalog,True
RCAEval RE2-OB,recommendationservice_mem/3,recommendationservice,mem,3,1705533073.0,catalog,True
RCAEval RE2-OB,recommendationservice_disk/2,recommendationservice,disk,2,1705535461.0,catalog,True
RCAEval RE2-OB,recommendationservice_disk/3,recommendationservice,disk,3,1705537934.0,catalog,True
RCAEval RE2-OB,recommendationservice_socket/2,recommendationservice,socket,2,1705540396.0,catalog,True
RCAEval RE2-OB,recommendationservice_socket/3,recommendationservice,socket,3,1705542843.0,catalog,True
RCAEval RE2-OB,recommendationservice_delay/2,recommendationservice,delay,2,1705545315.0,catalog,True
RCAEval RE2-OB,recommendationservice_delay/3,recommendationservice,delay,3,1705547762.0,catalog,True
RCAEval RE2-OB,recommendationservice_loss/2,recommendationservice,loss,2,1705583459.0,catalog,True
RCAEval RE2-OB,emailservice_cpu/2,emailservice,cpu,2,1705592998.0,catalog,True
RCAEval RE2-OB,emailservice_cpu/3,emailservice,cpu,3,1705595469.0,catalog,True
RCAEval RE2-OB,emailservice_mem/2,emailservice,mem,2,1705597985.0,catalog,True
RCAEval RE2-OB,emailservice_mem/3,emailservice,mem,3,1705600502.0,catalog,True
RCAEval RE2-OB,emailservice_disk/2,emailservice,disk,2,1705602964.0,catalog,True
RCAEval RE2-OB,checkoutservice_cpu/3,checkoutservice,cpu,3,1705623539.0,catalog,True
RCAEval RE2-OB,checkoutservice_mem/2,checkoutservice,mem,2,1705626077.0,catalog,True
RCAEval RE2-OB,checkoutservice_mem/3,checkoutservice,mem,3,1705627856.0,catalog,True
RCAEval RE2-OB,checkoutservice_socket/1,checkoutservice,socket,1,1705656313.0,catalog,True
RCAEval RE2-OB,checkoutservice_socket/2,checkoutservice,socket,2,1705660355.0,catalog,True
RCAEval RE2-OB,checkoutservice_socket/3,checkoutservice,socket,3,1705664091.0,catalog,True
RCAEval RE2-OB,checkoutservice_delay/1,checkoutservice,delay,1,1705666511.0,catalog,True
RCAEval RE2-OB,checkoutservice_delay/2,checkoutservice,delay,2,1705668921.0,catalog,True
RCAEval RE2-OB,checkoutservice_delay/3,checkoutservice,delay,3,1705671342.0,catalog,True
RCAEval RE2-OB,checkoutservice_loss/2,checkoutservice,loss,2,1705673762.0,catalog,True
RCAEval RE2-OB,currencyservice_cpu/1,currencyservice,cpu,1,1705682817.0,catalog,True
RCAEval RE2-OB,currencyservice_cpu/2,currencyservice,cpu,2,1705685216.0,catalog,True
RCAEval RE2-OB,currencyservice_cpu/3,currencyservice,cpu,3,1705687618.0,catalog,True
RCAEval RE2-OB,currencyservice_mem/3,currencyservice,mem,3,1705690057.0,catalog,True
RCAEval RE2-OB,currencyservice_disk/2,currencyservice,disk,2,1705692434.0,catalog,True
RCAEval RE2-OB,currencyservice_disk/3,currencyservice,disk,3,1705694833.0,catalog,True
RCAEval RE2-OB,currencyservice_socket/2,currencyservice,socket,2,1705697241.0,catalog,True
RCAEval RE2-OB,currencyservice_socket/3,currencyservice,socket,3,1705699619.0,catalog,True
RCAEval RE2-OB,currencyservice_delay/1,currencyservice,delay,1,1705702012.0,catalog,True
RCAEval RE2-OB,currencyservice_delay/2,currencyservice,delay,2,1705704343.0,catalog,True
RCAEval RE2-OB,currencyservice_delay/3,currencyservice,delay,3,1705706604.0,catalog,True
RCAEval RE2-OB,currencyservice_loss/2,currencyservice,loss,2,1705708871.0,catalog,True
RCAEval RE2-OB,currencyservice_loss/3,currencyservice,loss,3,1705711158.0,catalog,True
RCAEval RE2-OB,productcatalogservice_loss/3,productcatalogservice,loss,3,1705717097.0,catalog,True
RCAEval RE2-OB,emailservice_disk/3,emailservice,disk,3,1705719294.0,catalog,True
RCAEval RE2-OB,emailservice_socket/1,emailservice,socket,1,1705726260.0,catalog,True
RCAEval RE2-OB,emailservice_socket/2,emailservice,socket,2,1705728625.0,catalog,True
RCAEval RE2-OB,emailservice_socket/3,emailservice,socket,3,1705730978.0,catalog,True
RCAEval RE2-OB,emailservice_delay/1,emailservice,delay,1,1705733346.0,catalog,True
RCAEval RE2-OB,emailservice_delay/2,emailservice,delay,2,1705735702.0,catalog,True
RCAEval RE2-OB,emailservice_delay/3,emailservice,delay,3,1705738059.0,catalog,True
RCAEval RE2-OB,emailservice_loss/2,emailservice,loss,2,1705740414.0,catalog,True
RCAEval RE2-OB,emailservice_loss/3,emailservice,loss,3,1705742773.0,catalog,True
RCAEval RE2-OB,currencyservice_mem/2,currencyservice,mem,2,1705749889.0,catalog,True
RCAEval RE2-OB,recommendationservice_loss/3,recommendationservice,loss,3,1705757332.0,catalog,True
RCAEval RE2-OB,checkoutservice_disk/2,checkoutservice,disk,2,1705765528.0,catalog,True
RCAEval RE2-OB,checkoutservice_disk/3,checkoutservice,disk,3,1705767825.0,catalog,True
RCAEval RE2-OB,productcatalogservice_disk/3,productcatalogservice,disk,3,1708472972.0,catalog,True
RCAEval RE2-OB,checkoutservice_cpu/2,checkoutservice,cpu,2,1708475361.0,catalog,True
RCAEval RE2-OB,checkoutservice_loss/3,checkoutservice,loss,3,1708489141.0,catalog,True
RCAEval RE2-TT,ts-auth-service_cpu/1,ts-auth-service,cpu,1,1705918105.0,catalog,True
RCAEval RE2-TT,ts-auth-service_delay/1,ts-auth-service,delay,1,1705921865.0,catalog,True
RCAEval RE2-TT,ts-order-service_cpu/1,ts-order-service,cpu,1,1705935125.0,catalog,True
RCAEval RE2-TT,ts-route-service_cpu/1,ts-route-service,cpu,1,1705938117.0,catalog,True
RCAEval RE2-TT,ts-route-service_delay/1,ts-route-service,delay,1,1705939611.0,catalog,True
RCAEval RE2-TT,ts-train-service_cpu/1,ts-train-service,cpu,1,1705942599.0,catalog,True
RCAEval RE2-TT,ts-train-service_delay/1,ts-train-service,delay,1,1705944092.0,catalog,True
RCAEval RE2-TT,ts-order-service_delay/1,ts-order-service,delay,1,1705952245.0,catalog,True
RCAEval RE2-TT,ts-auth-service_disk/1,ts-auth-service,disk,1,1705980016.0,catalog,True
RCAEval RE2-TT,ts-auth-service_socket/1,ts-auth-service,socket,1,1705981508.0,catalog,True
RCAEval RE2-TT,ts-auth-service_loss/1,ts-auth-service,loss,1,1705983003.0,catalog,True
RCAEval RE2-TT,ts-order-service_disk/1,ts-order-service,disk,1,1705985281.0,catalog,True
RCAEval RE2-TT,ts-order-service_socket/1,ts-order-service,socket,1,1705986772.0,catalog,True
RCAEval RE2-TT,ts-order-service_loss/1,ts-order-service,loss,1,1705988266.0,catalog,True
RCAEval RE2-TT,ts-route-service_disk/1,ts-route-service,disk,1,1705990546.0,catalog,True
RCAEval RE2-TT,ts-route-service_socket/1,ts-route-service,socket,1,1705992046.0,catalog,True
RCAEval RE2-TT,ts-route-service_loss/1,ts-route-service,loss,1,1705993539.0,catalog,True
RCAEval RE2-TT,ts-train-service_socket/1,ts-train-service,socket,1,1705997317.0,catalog,True
RCAEval RE2-TT,ts-train-service_mem/1,ts-train-service,mem,1,1706008312.0,catalog,True
RCAEval RE2-TT,ts-train-service_disk/1,ts-train-service,disk,1,1706009807.0,catalog,True
RCAEval RE2-TT,ts-travel-service_disk/1,ts-travel-service,disk,1,1706012083.0,catalog,True
RCAEval RE2-TT,ts-travel-service_delay/1,ts-travel-service,delay,1,1706013574.0,catalog,True
RCAEval RE2-TT,ts-auth-service_cpu/2,ts-auth-service,cpu,2,1706023611.0,catalog,True
RCAEval RE2-TT,ts-auth-service_cpu/3,ts-auth-service,cpu,3,1706025155.0,catalog,True
RCAEval RE2-TT,ts-auth-service_mem/1,ts-auth-service,mem,1,1706026700.0,catalog,True
RCAEval RE2-TT,ts-auth-service_mem/2,ts-auth-service,mem,2,1706028246.0,catalog,True
RCAEval RE2-TT,ts-auth-service_disk/2,ts-auth-service,disk,2,1706031906.0,catalog,True
RCAEval RE2-TT,ts-auth-service_disk/3,ts-auth-service,disk,3,1706033453.0,catalog,True
RCAEval RE2-TT,ts-auth-service_socket/3,ts-auth-service,socket,3,1706036545.0,catalog,True
RCAEval RE2-TT,ts-auth-service_delay/2,ts-auth-service,delay,2,1706043049.0,catalog,True
RCAEval RE2-TT,ts-auth-service_loss/2,ts-auth-service,loss,2,1706044594.0,catalog,True
RCAEval RE2-TT,ts-auth-service_loss/3,ts-auth-service,loss,3,1706046142.0,catalog,True
RCAEval RE2-TT,ts-order-service_cpu/2,ts-order-service,cpu,2,1706051909.0,catalog,True
RCAEval RE2-TT,ts-order-service_cpu/3,ts-order-service,cpu,3,1706053461.0,catalog,True
RCAEval RE2-TT,ts-order-service_disk/2,ts-order-service,disk,2,1706059803.0,catalog,True
RCAEval RE2-TT,ts-order-service_disk/3,ts-order-service,disk,3,1706061352.0,catalog,True
RCAEval RE2-TT,ts-order-service_socket/2,ts-order-service,socket,2,1706062900.0,catalog,True
RCAEval RE2-TT,ts-order-service_delay/2,ts-order-service,delay,2,1706067125.0,catalog,True
RCAEval RE2-TT,ts-order-service_delay/3,ts-order-service,delay,3,1706068673.0,catalog,True
RCAEval RE2-TT,ts-order-service_loss/2,ts-order-service,loss,2,1706070221.0,catalog,True
RCAEval RE2-TT,ts-order-service_loss/3,ts-order-service,loss,3,1706071770.0,catalog,True
RCAEval RE2-TT,ts-route-service_cpu/2,ts-route-service,cpu,2,1706076163.0,catalog,True
RCAEval RE2-TT,ts-route-service_cpu/3,ts-route-service,cpu,3,1706077706.0,catalog,True
RCAEval RE2-TT,ts-route-service_mem/2,ts-route-service,mem,2,1706082132.0,catalog,True
RCAEval RE2-TT,ts-route-service_mem/3,ts-route-service,mem,3,1706083682.0,catalog,True
RCAEval RE2-TT,ts-route-service_disk/2,ts-route-service,disk,2,1706085230.0,catalog,True
RCAEval RE2-TT,ts-route-service_socket/2,ts-route-service,socket,2,1706088233.0,catalog,True
RCAEval RE2-TT,ts-route-service_socket/3,ts-route-service,socket,3,1706089779.0,catalog,True
RCAEval RE2-TT,ts-route-service_delay/2,ts-route-service,delay,2,1706091325.0,catalog,True
RCAEval RE2-TT,ts-route-service_delay/3,ts-route-service,delay,3,1706092874.0,catalog,True
RCAEval RE2-TT,ts-route-service_loss/2,ts-route-service,loss,2,1706094419.0,catalog,True
RCAEval RE2-TT,ts-route-service_loss/3,ts-route-service,loss,3,1706102401.0,catalog,True
RCAEval RE2-TT,ts-train-service_cpu/2,ts-train-service,cpu,2,1706105498.0,catalog,True
RCAEval RE2-TT,ts-train-service_cpu/3,ts-train-service,cpu,3,1706107045.0,catalog,True
RCAEval RE2-TT,ts-train-service_mem/2,ts-train-service,mem,2,1706111117.0,catalog,True
RCAEval RE2-TT,ts-train-service_mem/3,ts-train-service,mem,3,1706112664.0,catalog,True
RCAEval RE2-TT,ts-train-service_disk/2,ts-train-service,disk,2,1706114212.0,catalog,True
RCAEval RE2-TT,ts-train-service_disk/3,ts-train-service,disk,3,1706115759.0,catalog,True
RCAEval RE2-TT,ts-train-service_socket/2,ts-train-service,socket,2,1706117304.0,catalog,True
RCAEval RE2-TT,ts-train-service_socket/3,ts-train-service,socket,3,1706121899.0,catalog,True
RCAEval RE2-TT,ts-train-service_delay/2,ts-train-service,delay,2,1706123446.0,catalog,True
RCAEval RE2-TT,ts-train-service_delay/3,ts-train-service,delay,3,1706124991.0,catalog,True
RCAEval RE2-TT,ts-train-service_loss/2,ts-train-service,loss,2,1706126537.0,catalog,True
RCAEval RE2-TT,ts-train-service_loss/3,ts-train-service,loss,3,1706128083.0,catalog,True
RCAEval RE2-TT,ts-travel-service_cpu/2,ts-travel-service,cpu,2,1706135598.0,catalog,True
RCAEval RE2-TT,ts-travel-service_cpu/3,ts-travel-service,cpu,3,1706137144.0,catalog,True
RCAEval RE2-TT,ts-travel-service_disk/2,ts-travel-service,disk,2,1706143230.0,catalog,True
RCAEval RE2-TT,ts-travel-service_disk/3,ts-travel-service,disk,3,1706144777.0,catalog,True
RCAEval RE2-TT,ts-travel-service_socket/1,ts-travel-service,socket,1,1706146324.0,catalog,True
RCAEval RE2-TT,ts-travel-service_socket/2,ts-travel-service,socket,2,1706148724.0,catalog,True
RCAEval RE2-TT,ts-travel-service_socket/3,ts-travel-service,socket,3,1706150271.0,catalog,True
RCAEval RE2-TT,ts-travel-service_delay/2,ts-travel-service,delay,2,1706151818.0,catalog,True
RCAEval RE2-TT,ts-travel-service_delay/3,ts-travel-service,delay,3,1706153370.0,catalog,True
RCAEval RE2-TT,ts-travel-service_loss/2,ts-travel-service,loss,2,1706154918.0,catalog,True
RCAEval RE2-TT,ts-route-service_mem/1,ts-route-service,mem,1,1706179570.0,catalog,True
RCAEval RE2-TT,ts-route-service_disk/3,ts-route-service,disk,3,1706183080.0,catalog,True
RCAEval RE2-TT,ts-order-service_mem/1,ts-order-service,mem,1,1706198902.0,catalog,True
RCAEval RE2-TT,ts-order-service_mem/3,ts-order-service,mem,3,1706200452.0,catalog,True
RCAEval RE2-TT,ts-travel-service_mem/1,ts-travel-service,mem,1,1706202000.0,catalog,True
RCAEval RE2-TT,ts-travel-service_mem/2,ts-travel-service,mem,2,1706203551.0,catalog,True
RCAEval RE2-TT,ts-travel-service_mem/3,ts-travel-service,mem,3,1706207458.0,catalog,True
RCAEval RE2-TT,ts-order-service_mem/2,ts-order-service,mem,2,1708443983.0,catalog,True
RCAEval RE2-TT,ts-train-service_loss/1,ts-train-service,loss,1,1708448623.0,catalog,True
RCAEval RE2-TT,ts-travel-service_cpu/1,ts-travel-service,cpu,1,1708453056.0,catalog,True
RCAEval RE2-TT,ts-travel-service_loss/1,ts-travel-service,loss,1,1708454598.0,catalog,True
RCAEval RE2-TT,ts-travel-service_loss/3,ts-travel-service,loss,3,1708456140.0,catalog,True
RCAEval RE2-TT,ts-auth-service_mem/3,ts-auth-service,mem,3,1708747254.0,catalog,True
RCAEval RE2-TT,ts-auth-service_socket/2,ts-auth-service,socket,2,1708748796.0,catalog,True
RCAEval RE2-TT,ts-order-service_socket/3,ts-order-service,socket,3,1708751883.0,catalog,True
RCAEval RE2-TT,ts-auth-service_delay/3,ts-auth-service,delay,3,1708817505.0,catalog,True
